Pojem česky	Definice česky
 Příkaz projektu - příkaz k údržbářské práci	PříkazKÚdržbářskéPráci je podrobný popis údržbářské práce, která má být provedena. Vlastnost Plánovaný interval příkazu k údržbářské práci se používá, když je příkaz nezbytný jako instance plánovaného pracovního příkazu.
 Popis výrobku	Textový popis výrobků, které vyžadují práci.
 Požadovaný typ práce	Požadovaný typ práce, když existují kategorizace typů pracovního úkolu. Může být použit k určení nápravného úkolu, malých pracovních úkolů, elektrických úkolů, atd.
 Smluvní typ	Smluvní typ práce.
 V případě nedokončení	Poznámky v případě, že práce není dokončena.
 Údržbářský typ	"Udává předdefinované typy údržby, kterou lze provádět, ze které může být stanoven typ, který vytváří příkaz k údržbářské práci, kde:

NaZákladěPodmínky: vytvořený v důsledku podmínky, že hodnota položky nebo výrobku je nižší než určená hodnota.
Nápravný: vytvořený v důsledku okamžité nebo urgentní potřeby údržbářské činnosti.
PlánovanýNápravný: vytvořený v důsledku nutného okamžitého nápravného opatření, ale s dostatečnou dobou dostupnou pro pracovní příkaz zahrnutý v plánování údržby.
Plánovaný: vytvořený v důsledku požadavku na pevnou, pravidelnou údržbu."
 Typ priority chyby	"Udává předdefinované typy priorit, které lze přiřadit a ze kterých může být typ nastaven, kde:

Vysoká: činnost je urgentně nutná.
Střední: činnost může být provedena v rozumné době.
Nízká: činnost může být provedena, když je to vhodné."
 Typ priority umístění	"Udává předdefinované typy priorit, které lze přiřadit a ze kterých může být typ nastaven, kde:

Vysoká: činnost je urgentně nutná.
Střední: činnost může být provedena v rozumné době.
Nízká: činnost může být provedena, když je to vhodné."
 Plánovaný interval	Doba mezi předpokládanými konkretizacemi pracovního příkazu, kterou lze předdefinovat.
	
 Příkaz projektu - příkaz k přemístění	Definuje požadavky na příkazy k přemístění. Stav příkazu k přemístění je definován stejným způsobem jako stav pracovního příkazu, protože příkaz k přemístění vyplývá z pracovního požadavku.
 Zvláštní pokyny	Zvláštní pokyny, které ovlivňují přemístění.
	
 Příkaz projektu - nákupní příkaz	Definuje požadavky na nákupní příkazy v projektu.
 Je FOB	Udává, zda je obsah nákupního příkazu dodán ‚vyplaceně na palubu‘ (= True) nebo nikoli (= False). FOB je přepravní termín, který stanovuje, že dodavatel platí přepravní náklady (a obvykle také náklady na pojištění) z místa výroby do stanoveného místa určení, ve kterém přebírá odpovědnost kupující.
 Způsob přepravy	Způsob přepravy, který bude použit pro zboží nebo služby.
	
 Příkaz projektu - pracovní příkaz	Definuje požadavky na nákupní příkazy v projektu.
 Popis výrobku	Textový popis výrobků, které vyžadují práci.
 Požadovaný typ práce	Požadovaný typ práce, když existují kategorizace typů pracovního úkolu. Může být použit k určení nápravného úkolu, malých pracovních úkolů, elektrických úkolů, atd.
 Smluvní typ	Smluvní typ práce.
 V případě nedokončení	Poznámky v případě, že práce není dokončena.
	
 Dohoda o majetku	"Dohoda o majetku je dohoda, která umožňuje používání majetku po určitou dobu.

Cílem je shromáždit v dohodě informace, které jsou pro vedoucího zařízení důležité. Návrhové a konstrukční informace týkající se majetku nejsou uvažovány. Dohoda o majetku může platit pro instanci IfcSpatialStructureElement včetně sestav definovaných v IfcSpatialStructureElement.Element.CompositionEnum.

Související účastníci jsou obsaženi v třídě IfcOccupant."
 Typ dohody	Udává předdefinované typy dohody o majetku, ze kterých lze zvolit požadovaný typ.
 Identifikátor	Identifikátor přiřazený dohodě pro účely sledování.
 Verze	Číslo verze dohody, která je identifikována.
 Datum verze	Datum, kdy se verze dohody stává platnou.
 Název majetku	Identifikační podrobnosti majetku stanoveného v dohodě.
 Datum začátku	Datum, kdy dohoda začíná.
 Datum ukončení	Datum, kdy dohoda končí.
 Doba trvání	Doba pronájmu.
 Možnosti	Stanovení možností dostupných v dohodě.
 Stav na začátku	Stav poskytovaného majetku na začátku dohody, například studená stavební konstrukce, teplá osvětlená stavební konstrukce, zameteno, dodáno na klíč.
 Omezení	Omezení, která může uplatnit kompetentní úřad.
 Stav na konci	Požadovaný stav majetku na konci dohody, například studená stavební konstrukce, teplá osvětlená stavební konstrukce, zameteno, dodáno na klíč.
	
 Ochranné zařízení - křivka I2T vypínače	Souvislý soubor atributů představujících křivku omezované energie ochranného zařízení. Poznámka - Ochranné zařízení může být spojeno s různými instancemi tohoto souboru pSet poskytujícího informace týkající se různých základních vlastností.
 Úroveň napětí	Úrovně napětí ochranného zařízení, pro které jsou data této instance platná. Ve výčtu lze vybrat více než jednu hodnotu.
 Jmenovitý proud	"Soubor jmenovitých proudů v [A], pro které jsou data této instance platná. Uvedena musí být minimálně jedna hodnota. Žádná hodnota v souboru nesmí překročit hodnotu 
MaximálníJmenovitýProud stejného vypínače."
 Křivka vypínače	"Křivka, která stanovuje omezovanou energii vypínače, když je přiveden určitý předpokládaný proud.  Křivka vypínače je definována kartézským souřadnicovým systémem a tato skutečnost musí být v souboru vlastností zajištěna:

(1) Definující hodnota: PředpokládanýProud: Seznam minimálně 2 a maximálně 16 čísel poskytujících proudy v [A] pro body v souřadnicovém systému proud/I2t log/log. Křivka je nakreslena jako přímka mezi dvěma po sobě jdoucími body.
(2) Definovaná hodnota: OmezovanáEnergie: Seznam minimálně 2 a maximálně 16 čísel poskytujících omezovanou energii, I2t, v [A2s] pro body v souřadnicovém systému proud/I2t log/log. Křivka je nakreslena jako přímka mezi dvěma po sobě jdoucími body."
	
 Ochranné zařízení - křivka I2T pojistky vypínače	Souvislý soubor atributů představujících křivky tavicí a vypínací energie pojistky. Poznámka - Pojistka může být spojena s různými instancemi tohoto souboru vlastností poskytujícího informace týkající se různých základních vlastností.
 Úroveň napětí	Úrovně napětí pojistky, pro které jsou data této instance platná. Ve výčtu lze vybrat více než jednu hodnotu.
 Křivka tavení pojistky vypínače	"Křivka, která stanovuje energii nutnou k přetavení pojistky vypínače, když je přiveden určitý předpokládaný tavicí proud.  Křivka tavení pojistky vypínače je definována kartézským souřadnicovým systémem a tato skutečnost musí být:

(1) Definující hodnota: PředpokládanýTavicíProud: Seznam minimálně 2 a maximálně 8 čísel poskytujících proudy v [A] pro body v
souřadnicovém systému proud/tavicí_energie log/log. Křivka je nakreslena jako přímka mezi dvěma po sobě jdoucími body.
(2) Definovaná hodnota: TavicíEnergie: Seznam minimálně 2 a maximálně 8 čísel poskytujících energii, jejíž pomocí se začne pojistka tavit, I2t, v [A2s] pro body v souřadnicovém systému proud/tavicí_energie log/log. Křivka je nakreslena jako přímka mezi dvěma po sobě jdoucími body."
 Křivka přerušení pojistky vypínače	"Křivka, která stanovuje omezovanou vypínací energii vypínače, když je přiveden určitý předpokládaný vypínací proud.  Křivka přerušení pojistky vypínače je definována kartézským souřadnicovým systémem a tato skutečnost musí být:

(1) Definující hodnota: PředpokládanýVypínacíProud: Seznam minimálně 2 a maximálně 8 čísel poskytujících proudy v [A] pro body v
souřadnicovém systému proud/vypínací energie log/log. Křivka je nakreslena jako přímka mezi dvěma po sobě jdoucími body.
(2) Definovaná hodnota: OmezovanáVypínacíEnergie: Seznam minimálně 2 a maximálně 8 čísel poskytujících vypínací energii, jejíž pomocí se pojistka přetaví, I2t, v [A2s] pro body v souřadnicovém systému proud/vypínací_energie log/log. Křivka je nakreslena jako přímka mezi dvěma po sobě jdoucími body."
	
 Ochranné zařízení - křivka IPI vypínače	Souvislý soubor atributů představujících křivky omezovaných proudů ochranného zařízení. Poznámka - Ochranné zařízení může být spojeno s různými instancemi tohoto souboru pSet poskytujícího informace týkající se různých základních vlastností.
 Úroveň napětí	Úroveň napětí ochranného zařízení, pro kterou jsou data této instance platná. Ve výčtu lze vybrat více než jednu hodnotu.
 Jmenovitý proud	"Soubor jmenovitých proudů v [A], pro které jsou data této instance platná. Uvedena musí být minimálně jedna hodnota. Žádná hodnota v souboru nesmí překročit hodnotu 
MaximálníJmenovitýProud stejného vypínače."
 Křivka IPI vypínače	"Křivka, která stanovuje vrcholovou hodnotu omezovaného proudu vypínače, když je přiveden určitý předpokládaný proud.  Křivka IPI vypínače je definována kartézským souřadnicovým systémem a tato skutečnost musí být v souboru vlastností zajištěna:

(1) Definující hodnota: Seznam minimálně 2 a maximálně 16 čísel poskytujících proudy v [A] pro body v souřadnicovém systému I/Î log/log. Křivka je nakreslena jako přímka mezi dvěma po sobě jdoucími body.
(2) Definovaná hodnota: Seznam minimálně 2 a maximálně 16 čísel poskytujících vrcholové hodnoty omezovaného proudu, Î, v [A] pro body v souřadnicovém systému I/Î log/log. Křivka je nakreslena jako přímka mezi dvěma po sobě jdoucími body."
	
 Ochranné zařízení - typ MCB vypínače	Souvislý soubor atributů představujících vypínací výkony typu MCB. Poznámka - Ochranné zařízení může být spojeno s různými instancemi tohoto souboru vlastností poskytujícího informace týkající se různých základních vlastností.
 Ztrátový výkon	Ztrátový výkon ve [W] na jeden pól MCB, když přes MCB teče jmenovitý proud.
 Úroveň napětí	Úrovně napětí, pro které jsou data této instance platná. Ve výčtu lze vybrat více než jednu hodnotu.
 Jmenovité proudy	"Soubor jmenovitých proudů v [A], pro které jsou data této instance platná. Uvedena musí být minimálně jedna hodnota. Žádná hodnota v souboru nesmí překročit hodnotu 
MaximálníJmenovitýProud stejného vypínače."
 I C U60947	Maximální vypínací výkon v [A] pro MCB zkoušený v souladu s řadou IEC 60947.
 I C S60947	Provozní vypínací výkon v [A] pro MCB zkoušený v souladu s řadou IEC 60947.
 I C N60898	Jmenovitý vypínací výkon v [A] pro MCB zkoušený v souladu s řadou IEC 60898.
 I C S60898	Provozní vypínací výkon v [A] pro MCB zkoušený v souladu s řadou IEC 60898.
	
 Ochranné zařízení - vypínač ochrany motoru	Souvislý soubor atributů představujících různé výkony ochranného zařízení motoru definované v souladu s IEC 60947. Poznámka - Ochranné zařízení může být spojeno s různými instancemi tohoto souboru Pset.
 Výkonnostní třídy	"Soubor označení výkonnostních tříd vypínače, pro který jsou data této instance platná. Vypínací zařízení, kterým je zde ochranné zařízení motoru, může být
konstruováno pro různé úrovně vypínacích výkonů. Poskytnuto může být maximálně 7 různých
výkonnostních tříd. Příklady výkonnostních tříd, které mohou být specifikovány, zahrnují B, C, N, S, H, L, V."
 Úroveň napětí	Úrovně napětí, pro které jsou data této instance platná. Ve výčtu lze vybrat více než jednu hodnotu.
 I C U60947	Maximální vypínací výkon v [A] pro jistič nebo ochranné zařízení motoru zkoušené v souladu s řadou IEC 60947.
 I C S60947	Provozní vypínací výkon v [A] pro jistič nebo ochranné zařízení motoru zkoušené v souladu s řadou IEC 60947.
 I C W60947	Tepelný zkušební proud v [A] pro jistič nebo ochranné zařízení motoru zkoušené v souladu s řadou IEC 60947. Hodnota musí být vztažena na 1 s.
 I C M60947	Zapínací výkon v [A] pro jistič nebo ochranné zařízení motoru zkoušené v souladu s řadou IEC 60947.
